route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
22,10522:9-7-8,STAN-S1-4_43594031,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594032,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:9-7-8,STAN-S1-4_43594033,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594023,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602350,"Essey Mouzimpré",,0,109,10522$STAN-62$1,,
22,10522:10-7-127,STAN-S1-4_53594024,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594025,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594026,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594027,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594028,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594029,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594030,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594031,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594032,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:10-7-127,STAN-S1-4_53594033,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602351,"Essey Mouzimpré",,0,110,10522$STAN-62$1,,
22,10522:11-7-32,STAN-S1-5_63590501,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590502,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590514,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590515,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590516,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590517,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590518,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590519,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590520,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:11-7-32,STAN-S1-5_63590521,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602352,"Essey Mouzimpré",,0,121,10522$STAN-62$1,,
22,10522:11-7-32,STAN-S1-5_63590522,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587903,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587904,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587905,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587906,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587907,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587908,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587909,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587910,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587911,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602353,"Essey Mouzimpré",,0,102,10522$STAN-62$1,,
22,10522:12-7-127,STAN-S1-6_13587912,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587913,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587914,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587915,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587916,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587917,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587918,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587919,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:12-7-127,STAN-S1-6_13587920,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
22,10522:13-7-2,STAN-S1-6_23587903,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
1,10522:15-7-127,STAN-S1-6_43602354,"Essey Mouzimpré",,0,111,10522$STAN-62$1,,
22,10522:13-7-2,STAN-S1-6_23587904,"Gérard Barrois",,1,2202,10522$STAN-2$73,,
22,10522:13-7-2,STAN-S1-6_23587905,"Gérard Barrois",,1,2201,10522$STAN-2$73,,
